finding_type,finding_subtype,severity,policy_a,policy_b,description,explanation,policy_a_title,policy_a_department,policy_a_author,policy_a_version,policy_a_last_reviewed,policy_a_status,policy_b_title,policy_b_department,policy_b_author,policy_b_version,policy_b_last_reviewed,policy_b_status,policy,policy_title,policy_department,policy_author,policy_version,policy_last_reviewed,policy_status
REDUNDANCY,REDUNDANCY,LOW,policy_28.md,policy_20.md,Duplicate or near-duplicate obligations in policy_28.md and policy_20.md.,Both require the same action on monitoring.,Awareness Training Policy,Legal,Sophia Chen,v2.0,2025-08-03,retired,Monitoring Policy,Finance,Liam Carter,v3.2,2025-07-31,draft,,,,,,,
REDUNDANCY,REDUNDANCY,LOW,policy_12.md,policy_23.md,Duplicate or near-duplicate obligations in policy_12.md and policy_23.md.,Both require the same action on third-party.,Mobile Device Policy,IT Security,Fatima Noor,v3.2,2025-10-09,retired,Patch Management Policy,Compliance,Ava Johnson,v2.3,2025-12-24,draft,,,,,,,
REDUNDANCY,REDUNDANCY,LOW,policy_09.md,policy_20.md,Duplicate or near-duplicate obligations in policy_09.md and policy_20.md.,Both require the same action on vendor.,Incident Response Policy,Compliance,Noah Patel,v2.3,2025-12-12,retired,Monitoring Policy,Finance,Liam Carter,v3.2,2025-07-31,draft,,,,,,,
REDUNDANCY,REDUNDANCY,LOW,policy_06.md,policy_12.md,Duplicate or near-duplicate obligations in policy_06.md and policy_12.md.,Both require the same action on logging.,Network Security Policy,Operations,Noah Patel,v3.0,2022-12-15,active,Mobile Device Policy,IT Security,Fatima Noor,v3.2,2025-10-09,retired,,,,,,,
REDUNDANCY,REDUNDANCY,LOW,policy_29.md,policy_19.md,Duplicate or near-duplicate obligations in policy_29.md and policy_19.md.,Both require the same action on patch.,Endpoint Security Policy,Compliance,Alex Morgan,v1.3,2025-07-26,active,User Provisioning Policy,Infrastructure,Daniel Kim,v1.5,2025-01-18,retired,,,,,,,
REDUNDANCY,REDUNDANCY,LOW,policy_20.md,policy_14.md,Duplicate or near-duplicate obligations in policy_20.md and policy_14.md.,Both require the same action on change.,Monitoring Policy,Finance,Liam Carter,v3.2,2025-07-31,draft,Change Management Policy,Support,Daniel Kim,v2.0,2025-02-24,active,,,,,,,
REDUNDANCY,REDUNDANCY,LOW,policy_18.md,policy_19.md,Duplicate or near-duplicate obligations in policy_18.md and policy_19.md.,Both require the same action on asset.,Third-Party Risk Policy,HR,Fatima Noor,v1.4,2024-11-06,retired,User Provisioning Policy,Infrastructure,Daniel Kim,v1.5,2025-01-18,retired,,,,,,,
REDUNDANCY,REDUNDANCY,LOW,policy_09.md,policy_11.md,Duplicate or near-duplicate obligations in policy_09.md and policy_11.md.,Both require the same action on third-party.,Incident Response Policy,Compliance,Noah Patel,v2.3,2025-12-12,retired,Remote Work Policy,Product,Daniel Kim,v3.2,2025-06-02,draft,,,,,,,
REDUNDANCY,REDUNDANCY,LOW,policy_08.md,policy_22.md,Duplicate or near-duplicate obligations in policy_08.md and policy_22.md.,Both require the same action on endpoint.,Access Control Policy,Support,Alex Morgan,v3.2,2023-01-23,active,Vulnerability Management Policy,Operations,Priya Nair,v2.1,2025-11-17,retired,,,,,,,
REDUNDANCY,REDUNDANCY,LOW,policy_28.md,policy_29.md,Duplicate or near-duplicate obligations in policy_28.md and policy_29.md.,Both require the same action on network.,Awareness Training Policy,Legal,Sophia Chen,v2.0,2025-08-03,retired,Endpoint Security Policy,Compliance,Alex Morgan,v1.3,2025-07-26,active,,,,,,,
REDUNDANCY,REDUNDANCY,LOW,policy_15.md,policy_17.md,Duplicate or near-duplicate obligations in policy_15.md and policy_17.md.,Both require the same action on monitoring.,Backup & Recovery Policy,Compliance,Noah Patel,v2.4,2025-04-01,draft,Privacy Policy,HR,Liam Carter,v1.4,2026-01-31,retired,,,,,,,
STALE,STALE_POLICY,MEDIUM,,,policy_30.md not reviewed in 18+ months.,Last review date is stale.,,,,,,,,,,,,,policy_30.md,API Security Policy,Infrastructure,Alex Morgan,v1.2,2025-03-16,retired
STALE,STALE_POLICY,MEDIUM,,,policy_10.md not reviewed in 18+ months.,Last review date is stale.,,,,,,,,,,,,,policy_10.md,Vendor Management Policy,Operations,Ethan Walker,v2.3,2024-12-07,active
STALE,STALE_POLICY,MEDIUM,,,policy_25.md not reviewed in 18+ months.,Last review date is stale.,,,,,,,,,,,,,policy_25.md,Legal Compliance Policy,Operations,Alex Morgan,v3.5,2025-07-22,active
STALE,STALE_POLICY,MEDIUM,,,policy_06.md not reviewed in 18+ months.,Last review date is stale.,,,,,,,,,,,,,policy_06.md,Network Security Policy,Operations,Noah Patel,v3.0,2022-12-15,active
STALE,STALE_POLICY,MEDIUM,,,policy_30.md not reviewed in 18+ months.,Last review date is stale.,,,,,,,,,,,,,policy_30.md,API Security Policy,Infrastructure,Alex Morgan,v1.2,2025-03-16,retired
STALE,STALE_POLICY,MEDIUM,,,policy_24.md not reviewed in 18+ months.,Last review date is stale.,,,,,,,,,,,,,policy_24.md,HR Security Policy,Compliance,Daniel Kim,v1.2,2025-11-04,retired
STALE,STALE_POLICY,MEDIUM,,,policy_11.md not reviewed in 18+ months.,Last review date is stale.,,,,,,,,,,,,,policy_11.md,Remote Work Policy,Product,Daniel Kim,v3.2,2025-06-02,draft
STALE,STALE_POLICY,MEDIUM,,,policy_08.md not reviewed in 18+ months.,Last review date is stale.,,,,,,,,,,,,,policy_08.md,Access Control Policy,Support,Alex Morgan,v3.2,2023-01-23,active
STALE,STALE_POLICY,MEDIUM,,,policy_18.md not reviewed in 18+ months.,Last review date is stale.,,,,,,,,,,,,,policy_18.md,Third-Party Risk Policy,HR,Fatima Noor,v1.4,2024-11-06,retired
STALE,STALE_POLICY,MEDIUM,,,policy_19.md not reviewed in 18+ months.,Last review date is stale.,,,,,,,,,,,,,policy_19.md,User Provisioning Policy,Infrastructure,Daniel Kim,v1.5,2025-01-18,retired
STALE,STALE_POLICY,MEDIUM,,,policy_13.md not reviewed in 18+ months.,Last review date is stale.,,,,,,,,,,,,,policy_13.md,Physical Security Policy,Legal,Priya Nair,v2.0,2025-08-12,draft
STALE,STALE_POLICY,MEDIUM,,,policy_06.md not reviewed in 18+ months.,Last review date is stale.,,,,,,,,,,,,,policy_06.md,Network Security Policy,Operations,Noah Patel,v3.0,2022-12-15,active
STALE,STALE_REFERENCE,LOW,,,policy_23.md references deprecated technology or regulation.,Mentions WEP.,,,,,,,,,,,,,policy_23.md,Patch Management Policy,Compliance,Ava Johnson,v2.3,2025-12-24,draft
STALE,STALE_REFERENCE,LOW,,,policy_10.md references deprecated technology or regulation.,Mentions SHA-1.,,,,,,,,,,,,,policy_10.md,Vendor Management Policy,Operations,Ethan Walker,v2.3,2024-12-07,active
STALE,STALE_REFERENCE,LOW,,,policy_21.md references deprecated technology or regulation.,Mentions TLS 1.0.,,,,,,,,,,,,,policy_21.md,Logging Policy,Infrastructure,Priya Nair,v1.0,2025-05-02,retired
STALE,STALE_REFERENCE,LOW,,,policy_12.md references deprecated technology or regulation.,Mentions GDPR 2016.,,,,,,,,,,,,,policy_12.md,Mobile Device Policy,IT Security,Fatima Noor,v3.2,2025-10-09,retired
STALE,STALE_REFERENCE,LOW,,,policy_18.md references deprecated technology or regulation.,Mentions SHA-1.,,,,,,,,,,,,,policy_18.md,Third-Party Risk Policy,HR,Fatima Noor,v1.4,2024-11-06,retired
STALE,STALE_REFERENCE,LOW,,,policy_16.md references deprecated technology or regulation.,Mentions SOX 2002.,,,,,,,,,,,,,policy_16.md,Asset Management Policy,Operations,Ethan Walker,v3.4,2025-01-13,active
STALE,STALE_REFERENCE,LOW,,,policy_21.md references deprecated technology or regulation.,Mentions NIST SP 800-53 Rev 4.,,,,,,,,,,,,,policy_21.md,Logging Policy,Infrastructure,Priya Nair,v1.0,2025-05-02,retired
STALE,STALE_REFERENCE,LOW,,,policy_22.md references deprecated technology or regulation.,Mentions TLS 1.0.,,,,,,,,,,,,,policy_22.md,Vulnerability Management Policy,Operations,Priya Nair,v2.1,2025-11-17,retired
CONFLICT,FALSE_POSITIVE_PRONE,LOW,policy_22.md,policy_16.md,"Apparent conflict between policy_22.md and policy_16.md, but different scopes.","Appears conflicting, but applies to different user groups.",Vulnerability Management Policy,Operations,Priya Nair,v2.1,2025-11-17,retired,Asset Management Policy,Operations,Ethan Walker,v3.4,2025-01-13,active,,,,,,,
CONFLICT,FALSE_POSITIVE_PRONE,LOW,policy_13.md,policy_09.md,"Apparent conflict between policy_13.md and policy_09.md, but different scopes.","Appears conflicting, but applies to different user groups.",Physical Security Policy,Legal,Priya Nair,v2.0,2025-08-12,draft,Incident Response Policy,Compliance,Noah Patel,v2.3,2025-12-12,retired,,,,,,,
CONFLICT,FALSE_POSITIVE_PRONE,LOW,policy_16.md,policy_19.md,"Apparent conflict between policy_16.md and policy_19.md, but different scopes.","Appears conflicting, but applies to different user groups.",Asset Management Policy,Operations,Ethan Walker,v3.4,2025-01-13,active,User Provisioning Policy,Infrastructure,Daniel Kim,v1.5,2025-01-18,retired,,,,,,,
CONFLICT,FALSE_POSITIVE_PRONE,LOW,policy_28.md,policy_21.md,"Apparent conflict between policy_28.md and policy_21.md, but different scopes.","Appears conflicting, but applies to different user groups.",Awareness Training Policy,Legal,Sophia Chen,v2.0,2025-08-03,retired,Logging Policy,Infrastructure,Priya Nair,v1.0,2025-05-02,retired,,,,,,,
CONFLICT,FALSE_POSITIVE_PRONE,LOW,policy_19.md,policy_15.md,"Apparent conflict between policy_19.md and policy_15.md, but different scopes.","Appears conflicting, but applies to different user groups.",User Provisioning Policy,Infrastructure,Daniel Kim,v1.5,2025-01-18,retired,Backup & Recovery Policy,Compliance,Noah Patel,v2.4,2025-04-01,draft,,,,,,,
CONFLICT,FALSE_POSITIVE_PRONE,LOW,policy_02.md,policy_03.md,"Apparent conflict between policy_02.md and policy_03.md, but different scopes.","Appears conflicting, but applies to different user groups.",Cloud Security Policy,Sales,Priya Nair,v2.2,2022-07-15,active,Data Classification Policy,Compliance,Ava Johnson,v3.4,2024-02-19,active,,,,,,,
CONFLICT,FALSE_POSITIVE_PRONE,LOW,policy_11.md,policy_16.md,"Apparent conflict between policy_11.md and policy_16.md, but different scopes.","Appears conflicting, but applies to different user groups.",Remote Work Policy,Product,Daniel Kim,v3.2,2025-06-02,draft,Asset Management Policy,Operations,Ethan Walker,v3.4,2025-01-13,active,,,,,,,
CONFLICT,FALSE_POSITIVE_PRONE,LOW,policy_21.md,policy_16.md,"Apparent conflict between policy_21.md and policy_16.md, but different scopes.","Appears conflicting, but applies to different user groups.",Logging Policy,Infrastructure,Priya Nair,v1.0,2025-05-02,retired,Asset Management Policy,Operations,Ethan Walker,v3.4,2025-01-13,active,,,,,,,
CONFLICT,FALSE_POSITIVE_PRONE,LOW,policy_02.md,policy_21.md,"Apparent conflict between policy_02.md and policy_21.md, but different scopes.","Appears conflicting, but applies to different user groups.",Cloud Security Policy,Sales,Priya Nair,v2.2,2022-07-15,active,Logging Policy,Infrastructure,Priya Nair,v1.0,2025-05-02,retired,,,,,,,
CONFLICT,FALSE_POSITIVE_PRONE,LOW,policy_05.md,policy_01.md,"Apparent conflict between policy_05.md and policy_01.md, but different scopes.","Appears conflicting, but applies to different user groups.",Data Retention Policy,Infrastructure,Ava Johnson,v3.5,2022-09-22,active,Password Policy,Product,Ava Johnson,v2.3,2023-03-28,active,,,,,,,
CONFLICT,FALSE_POSITIVE_PRONE,LOW,policy_09.md,policy_18.md,"Apparent conflict between policy_09.md and policy_18.md, but different scopes.","Appears conflicting, but applies to different user groups.",Incident Response Policy,Compliance,Noah Patel,v2.3,2025-12-12,retired,Third-Party Risk Policy,HR,Fatima Noor,v1.4,2024-11-06,retired,,,,,,,
CONFLICT,FALSE_POSITIVE_PRONE,LOW,policy_15.md,policy_02.md,"Apparent conflict between policy_15.md and policy_02.md, but different scopes.","Appears conflicting, but applies to different user groups.",Backup & Recovery Policy,Compliance,Noah Patel,v2.4,2025-04-01,draft,Cloud Security Policy,Sales,Priya Nair,v2.2,2022-07-15,active,,,,,,,
CONFLICT,FALSE_POSITIVE_PRONE,LOW,policy_03.md,policy_09.md,"Apparent conflict between policy_03.md and policy_09.md, but different scopes.","Appears conflicting, but applies to different user groups.",Data Classification Policy,Compliance,Ava Johnson,v3.4,2024-02-19,active,Incident Response Policy,Compliance,Noah Patel,v2.3,2025-12-12,retired,,,,,,,
CONFLICT,FALSE_POSITIVE_PRONE,LOW,policy_26.md,policy_02.md,"Apparent conflict between policy_26.md and policy_02.md, but different scopes.","Appears conflicting, but applies to different user groups.",Business Continuity Policy,Engineering,Ava Johnson,v3.0,2026-01-30,active,Cloud Security Policy,Sales,Priya Nair,v2.2,2022-07-15,active,,,,,,,
CONFLICT,FALSE_POSITIVE_PRONE,LOW,policy_08.md,policy_19.md,"Apparent conflict between policy_08.md and policy_19.md, but different scopes.","Appears conflicting, but applies to different user groups.",Access Control Policy,Support,Alex Morgan,v3.2,2023-01-23,active,User Provisioning Policy,Infrastructure,Daniel Kim,v1.5,2025-01-18,retired,,,,,,,
