policy_file,obligation_text,topic,strength,scope,policy_title,policy_department,policy_author,policy_version,policy_last_reviewed,policy_status
policy_03.md,Contractors should asset.,asset,should,contractors,Data Classification Policy,Compliance,Ava Johnson,v3.4,2024-02-19,active
policy_04.md,Admins required HR.,HR,required,admins,Acceptable Use Policy,HR,Mia Gonzalez,v3.1,2024-03-20,active
policy_05.md,Admins should patch.,patch,should,admins,Data Retention Policy,Infrastructure,Ava Johnson,v3.5,2022-09-22,active
policy_06.md,All Users should cloud.,cloud,should,all users,Network Security Policy,Operations,Noah Patel,v3.0,2022-12-15,active
policy_07.md,Employees required network.,network,required,employees,Encryption Policy,Infrastructure,Daniel Kim,v3.3,2023-04-07,active
policy_08.md,Admins prohibited endpoint.,endpoint,prohibited,admins,Access Control Policy,Support,Alex Morgan,v3.2,2023-01-23,active
policy_09.md,All Users must privacy. (Reference: WEP),privacy,must,all users,Incident Response Policy,Compliance,Noah Patel,v2.3,2025-12-12,retired
policy_10.md,Employees should monitoring.,monitoring,should,employees,Vendor Management Policy,Operations,Ethan Walker,v2.3,2024-12-07,active
policy_11.md,Admins required encryption. (Reference: DES),encryption,required,admins,Remote Work Policy,Product,Daniel Kim,v3.2,2025-06-02,draft
policy_12.md,Developers required provisioning.,provisioning,required,developers,Mobile Device Policy,IT Security,Fatima Noor,v3.2,2025-10-09,retired
policy_13.md,Employees should api.,api,should,employees,Physical Security Policy,Legal,Priya Nair,v2.0,2025-08-12,draft
policy_14.md,Admins shall HR.,HR,shall,admins,Change Management Policy,Support,Daniel Kim,v2.0,2025-02-24,active
policy_15.md,All Users prohibited endpoint.,endpoint,prohibited,all users,Backup & Recovery Policy,Compliance,Noah Patel,v2.4,2025-04-01,draft
policy_16.md,Employees required asset.,asset,required,employees,Asset Management Policy,Operations,Ethan Walker,v3.4,2025-01-13,active
policy_17.md,Admins shall encryption.,encryption,shall,admins,Privacy Policy,HR,Liam Carter,v1.4,2026-01-31,retired
policy_18.md,Employees shall endpoint.,endpoint,shall,employees,Third-Party Risk Policy,HR,Fatima Noor,v1.4,2024-11-06,retired
policy_19.md,All Users recommended provisioning. (Reference: DES),provisioning,recommended,all users,User Provisioning Policy,Infrastructure,Daniel Kim,v1.5,2025-01-18,retired
policy_20.md,Admins must logging.,logging,must,admins,Monitoring Policy,Finance,Liam Carter,v3.2,2025-07-31,draft
policy_21.md,All Users prohibited third-party.,third-party,prohibited,all users,Logging Policy,Infrastructure,Priya Nair,v1.0,2025-05-02,retired
policy_22.md,Contractors shall endpoint.,endpoint,shall,contractors,Vulnerability Management Policy,Operations,Priya Nair,v2.1,2025-11-17,retired
policy_23.md,Admins shall monitoring.,monitoring,shall,admins,Patch Management Policy,Compliance,Ava Johnson,v2.3,2025-12-24,draft
policy_24.md,Contractors required HR.,HR,required,contractors,HR Security Policy,Compliance,Daniel Kim,v1.2,2025-11-04,retired
policy_25.md,All Users shall endpoint.,endpoint,shall,all users,Legal Compliance Policy,Operations,Alex Morgan,v3.5,2025-07-22,active
policy_26.md,All Users recommended patch.,patch,recommended,all users,Business Continuity Policy,Engineering,Ava Johnson,v3.0,2026-01-30,active
policy_27.md,Developers recommended patch.,patch,recommended,developers,Disaster Recovery Policy,Operations,Ethan Walker,v1.4,2025-10-03,draft
policy_28.md,Admins prohibited network.,network,prohibited,admins,Awareness Training Policy,Legal,Sophia Chen,v2.0,2025-08-03,retired
policy_29.md,Admins prohibited cloud.,cloud,prohibited,admins,Endpoint Security Policy,Compliance,Alex Morgan,v1.3,2025-07-26,active
policy_30.md,Contractors prohibited cloud.,cloud,prohibited,contractors,API Security Policy,Infrastructure,Alex Morgan,v1.2,2025-03-16,retired
policy_01.md,Admins shall monitoring.,monitoring,shall,admins,Password Policy,Product,Ava Johnson,v2.3,2023-03-28,active
policy_02.md,Admins should cloud.,cloud,should,admins,Cloud Security Policy,Sales,Priya Nair,v2.2,2022-07-15,active
policy_03.md,Admins prohibited third-party.,third-party,prohibited,admins,Data Classification Policy,Compliance,Ava Johnson,v3.4,2024-02-19,active
policy_04.md,Employees prohibited network.,network,prohibited,employees,Acceptable Use Policy,HR,Mia Gonzalez,v3.1,2024-03-20,active
policy_05.md,All Users must change.,change,must,all users,Data Retention Policy,Infrastructure,Ava Johnson,v3.5,2022-09-22,active
policy_06.md,Developers required mobile. (Reference: Windows Server 2012),mobile,required,developers,Network Security Policy,Operations,Noah Patel,v3.0,2022-12-15,active
policy_07.md,Developers prohibited provisioning.,provisioning,prohibited,developers,Encryption Policy,Infrastructure,Daniel Kim,v3.3,2023-04-07,active
policy_08.md,All Users required cloud.,cloud,required,all users,Access Control Policy,Support,Alex Morgan,v3.2,2023-01-23,active
policy_09.md,Contractors recommended logging.,logging,recommended,contractors,Incident Response Policy,Compliance,Noah Patel,v2.3,2025-12-12,retired
policy_10.md,All Users recommended HR. (Reference: FTP),HR,recommended,all users,Vendor Management Policy,Operations,Ethan Walker,v2.3,2024-12-07,active
policy_11.md,Admins must asset.,asset,must,admins,Remote Work Policy,Product,Daniel Kim,v3.2,2025-06-02,draft
policy_12.md,All Users recommended provisioning.,provisioning,recommended,all users,Mobile Device Policy,IT Security,Fatima Noor,v3.2,2025-10-09,retired
policy_13.md,Admins shall endpoint. (Reference: DES),endpoint,shall,admins,Physical Security Policy,Legal,Priya Nair,v2.0,2025-08-12,draft
policy_14.md,Employees must logging.,logging,must,employees,Change Management Policy,Support,Daniel Kim,v2.0,2025-02-24,active
policy_15.md,Developers prohibited change.,change,prohibited,developers,Backup & Recovery Policy,Compliance,Noah Patel,v2.4,2025-04-01,draft
policy_16.md,Developers recommended provisioning.,provisioning,recommended,developers,Asset Management Policy,Operations,Ethan Walker,v3.4,2025-01-13,active
policy_17.md,Admins recommended asset.,asset,recommended,admins,Privacy Policy,HR,Liam Carter,v1.4,2026-01-31,retired
policy_18.md,Developers required cloud.,cloud,required,developers,Third-Party Risk Policy,HR,Fatima Noor,v1.4,2024-11-06,retired
policy_19.md,Admins shall physical.,physical,shall,admins,User Provisioning Policy,Infrastructure,Daniel Kim,v1.5,2025-01-18,retired
policy_20.md,All Users shall mobile.,mobile,shall,all users,Monitoring Policy,Finance,Liam Carter,v3.2,2025-07-31,draft
policy_21.md,Employees should mobile.,mobile,should,employees,Logging Policy,Infrastructure,Priya Nair,v1.0,2025-05-02,retired
policy_22.md,Admins recommended password.,password,recommended,admins,Vulnerability Management Policy,Operations,Priya Nair,v2.1,2025-11-17,retired
policy_23.md,All Users recommended backup.,backup,recommended,all users,Patch Management Policy,Compliance,Ava Johnson,v2.3,2025-12-24,draft
policy_24.md,Contractors should cloud.,cloud,should,contractors,HR Security Policy,Compliance,Daniel Kim,v1.2,2025-11-04,retired
policy_25.md,Contractors shall mobile. (Reference: FTP),mobile,shall,contractors,Legal Compliance Policy,Operations,Alex Morgan,v3.5,2025-07-22,active
policy_26.md,Admins must third-party.,third-party,must,admins,Business Continuity Policy,Engineering,Ava Johnson,v3.0,2026-01-30,active
policy_27.md,Admins required vendor.,vendor,required,admins,Disaster Recovery Policy,Operations,Ethan Walker,v1.4,2025-10-03,draft
policy_28.md,Admins shall HR.,HR,shall,admins,Awareness Training Policy,Legal,Sophia Chen,v2.0,2025-08-03,retired
policy_29.md,Employees required network.,network,required,employees,Endpoint Security Policy,Compliance,Alex Morgan,v1.3,2025-07-26,active
policy_30.md,Employees prohibited vendor.,vendor,prohibited,employees,API Security Policy,Infrastructure,Alex Morgan,v1.2,2025-03-16,retired
policy_01.md,Developers recommended privacy.,privacy,recommended,developers,Password Policy,Product,Ava Johnson,v2.3,2023-03-28,active
policy_02.md,All Users prohibited password.,password,prohibited,all users,Cloud Security Policy,Sales,Priya Nair,v2.2,2022-07-15,active
policy_03.md,Contractors prohibited access. (Reference: DES),access,prohibited,contractors,Data Classification Policy,Compliance,Ava Johnson,v3.4,2024-02-19,active
policy_04.md,Contractors prohibited backup.,backup,prohibited,contractors,Acceptable Use Policy,HR,Mia Gonzalez,v3.1,2024-03-20,active
policy_05.md,All Users must access.,access,must,all users,Data Retention Policy,Infrastructure,Ava Johnson,v3.5,2022-09-22,active
policy_06.md,Contractors should mobile.,mobile,should,contractors,Network Security Policy,Operations,Noah Patel,v3.0,2022-12-15,active
policy_07.md,Admins recommended network.,network,recommended,admins,Encryption Policy,Infrastructure,Daniel Kim,v3.3,2023-04-07,active
policy_08.md,All Users required vendor.,vendor,required,all users,Access Control Policy,Support,Alex Morgan,v3.2,2023-01-23,active
policy_09.md,All Users must cloud.,cloud,must,all users,Incident Response Policy,Compliance,Noah Patel,v2.3,2025-12-12,retired
policy_10.md,Admins should change. (Reference: FTP),change,should,admins,Vendor Management Policy,Operations,Ethan Walker,v2.3,2024-12-07,active
policy_11.md,Admins prohibited asset. (Reference: DES),asset,prohibited,admins,Remote Work Policy,Product,Daniel Kim,v3.2,2025-06-02,draft
policy_12.md,Admins required privacy.,privacy,required,admins,Mobile Device Policy,IT Security,Fatima Noor,v3.2,2025-10-09,retired
policy_13.md,Developers shall password.,password,shall,developers,Physical Security Policy,Legal,Priya Nair,v2.0,2025-08-12,draft
policy_14.md,Employees required HR.,HR,required,employees,Change Management Policy,Support,Daniel Kim,v2.0,2025-02-24,active
policy_15.md,Admins should password. (Reference: SOX 2002),password,should,admins,Backup & Recovery Policy,Compliance,Noah Patel,v2.4,2025-04-01,draft
policy_16.md,Developers must monitoring.,monitoring,must,developers,Asset Management Policy,Operations,Ethan Walker,v3.4,2025-01-13,active
policy_17.md,Contractors required vendor. (Reference: WEP),vendor,required,contractors,Privacy Policy,HR,Liam Carter,v1.4,2026-01-31,retired
policy_18.md,Admins recommended cloud.,cloud,recommended,admins,Third-Party Risk Policy,HR,Fatima Noor,v1.4,2024-11-06,retired
policy_19.md,Employees shall cloud.,cloud,shall,employees,User Provisioning Policy,Infrastructure,Daniel Kim,v1.5,2025-01-18,retired
policy_20.md,Contractors should third-party.,third-party,should,contractors,Monitoring Policy,Finance,Liam Carter,v3.2,2025-07-31,draft
policy_21.md,Developers required backup.,backup,required,developers,Logging Policy,Infrastructure,Priya Nair,v1.0,2025-05-02,retired
policy_22.md,Contractors shall api.,api,shall,contractors,Vulnerability Management Policy,Operations,Priya Nair,v2.1,2025-11-17,retired
policy_23.md,Employees should network.,network,should,employees,Patch Management Policy,Compliance,Ava Johnson,v2.3,2025-12-24,draft
policy_24.md,Contractors must access. (Reference: WEP),access,must,contractors,HR Security Policy,Compliance,Daniel Kim,v1.2,2025-11-04,retired
policy_25.md,Employees must third-party.,third-party,must,employees,Legal Compliance Policy,Operations,Alex Morgan,v3.5,2025-07-22,active
policy_26.md,All Users prohibited change.,change,prohibited,all users,Business Continuity Policy,Engineering,Ava Johnson,v3.0,2026-01-30,active
policy_27.md,Admins should physical.,physical,should,admins,Disaster Recovery Policy,Operations,Ethan Walker,v1.4,2025-10-03,draft
policy_28.md,Contractors required api.,api,required,contractors,Awareness Training Policy,Legal,Sophia Chen,v2.0,2025-08-03,retired
policy_29.md,Contractors shall vendor.,vendor,shall,contractors,Endpoint Security Policy,Compliance,Alex Morgan,v1.3,2025-07-26,active
policy_30.md,Employees should cloud.,cloud,should,employees,API Security Policy,Infrastructure,Alex Morgan,v1.2,2025-03-16,retired
policy_01.md,Employees recommended change.,change,recommended,employees,Password Policy,Product,Ava Johnson,v2.3,2023-03-28,active
policy_02.md,Employees shall privacy.,privacy,shall,employees,Cloud Security Policy,Sales,Priya Nair,v2.2,2022-07-15,active
policy_03.md,Contractors recommended endpoint.,endpoint,recommended,contractors,Data Classification Policy,Compliance,Ava Johnson,v3.4,2024-02-19,active
policy_04.md,Admins must network.,network,must,admins,Acceptable Use Policy,HR,Mia Gonzalez,v3.1,2024-03-20,active
policy_05.md,Contractors required logging.,logging,required,contractors,Data Retention Policy,Infrastructure,Ava Johnson,v3.5,2022-09-22,active
policy_06.md,Admins recommended api.,api,recommended,admins,Network Security Policy,Operations,Noah Patel,v3.0,2022-12-15,active
policy_07.md,Employees must logging.,logging,must,employees,Encryption Policy,Infrastructure,Daniel Kim,v3.3,2023-04-07,active
policy_08.md,Employees must data retention.,data retention,must,employees,Access Control Policy,Support,Alex Morgan,v3.2,2023-01-23,active
policy_09.md,Admins must monitoring.,monitoring,must,admins,Incident Response Policy,Compliance,Noah Patel,v2.3,2025-12-12,retired
policy_10.md,Admins should password.,password,should,admins,Vendor Management Policy,Operations,Ethan Walker,v2.3,2024-12-07,active
policy_11.md,Admins required access.,access,required,admins,Remote Work Policy,Product,Daniel Kim,v3.2,2025-06-02,draft
policy_12.md,Employees required api.,api,required,employees,Mobile Device Policy,IT Security,Fatima Noor,v3.2,2025-10-09,retired
policy_13.md,Employees prohibited endpoint.,endpoint,prohibited,employees,Physical Security Policy,Legal,Priya Nair,v2.0,2025-08-12,draft
policy_14.md,Employees recommended physical.,physical,recommended,employees,Change Management Policy,Support,Daniel Kim,v2.0,2025-02-24,active
policy_15.md,Employees prohibited logging.,logging,prohibited,employees,Backup & Recovery Policy,Compliance,Noah Patel,v2.4,2025-04-01,draft
policy_16.md,Admins required monitoring.,monitoring,required,admins,Asset Management Policy,Operations,Ethan Walker,v3.4,2025-01-13,active
policy_17.md,All Users required logging.,logging,required,all users,Privacy Policy,HR,Liam Carter,v1.4,2026-01-31,retired
policy_18.md,Contractors shall patch.,patch,shall,contractors,Third-Party Risk Policy,HR,Fatima Noor,v1.4,2024-11-06,retired
policy_19.md,Employees required privacy. (Reference: DES),privacy,required,employees,User Provisioning Policy,Infrastructure,Daniel Kim,v1.5,2025-01-18,retired
policy_20.md,All Users should privacy.,privacy,should,all users,Monitoring Policy,Finance,Liam Carter,v3.2,2025-07-31,draft
policy_21.md,All Users required password. (Reference: SHA-1),password,required,all users,Logging Policy,Infrastructure,Priya Nair,v1.0,2025-05-02,retired
policy_22.md,Admins prohibited cloud. (Reference: DES),cloud,prohibited,admins,Vulnerability Management Policy,Operations,Priya Nair,v2.1,2025-11-17,retired
policy_23.md,All Users should physical.,physical,should,all users,Patch Management Policy,Compliance,Ava Johnson,v2.3,2025-12-24,draft
policy_24.md,Developers recommended endpoint.,endpoint,recommended,developers,HR Security Policy,Compliance,Daniel Kim,v1.2,2025-11-04,retired
policy_25.md,Employees required cloud.,cloud,required,employees,Legal Compliance Policy,Operations,Alex Morgan,v3.5,2025-07-22,active
policy_26.md,All Users should asset.,asset,should,all users,Business Continuity Policy,Engineering,Ava Johnson,v3.0,2026-01-30,active
policy_27.md,Developers shall password. (Reference: Windows Server 2012),password,shall,developers,Disaster Recovery Policy,Operations,Ethan Walker,v1.4,2025-10-03,draft
policy_28.md,Contractors should password. (Reference: SHA-1),password,should,contractors,Awareness Training Policy,Legal,Sophia Chen,v2.0,2025-08-03,retired
policy_29.md,All Users required access.,access,required,all users,Endpoint Security Policy,Compliance,Alex Morgan,v1.3,2025-07-26,active
policy_30.md,Admins shall privacy.,privacy,shall,admins,API Security Policy,Infrastructure,Alex Morgan,v1.2,2025-03-16,retired
policy_01.md,All Users recommended monitoring.,monitoring,recommended,all users,Password Policy,Product,Ava Johnson,v2.3,2023-03-28,active
policy_02.md,Admins prohibited third-party.,third-party,prohibited,admins,Cloud Security Policy,Sales,Priya Nair,v2.2,2022-07-15,active
policy_03.md,All Users must endpoint.,endpoint,must,all users,Data Classification Policy,Compliance,Ava Johnson,v3.4,2024-02-19,active
policy_04.md,Admins required HR.,HR,required,admins,Acceptable Use Policy,HR,Mia Gonzalez,v3.1,2024-03-20,active
policy_05.md,Contractors recommended provisioning.,provisioning,recommended,contractors,Data Retention Policy,Infrastructure,Ava Johnson,v3.5,2022-09-22,active
policy_06.md,Admins recommended mobile.,mobile,recommended,admins,Network Security Policy,Operations,Noah Patel,v3.0,2022-12-15,active
policy_07.md,Contractors must privacy.,privacy,must,contractors,Encryption Policy,Infrastructure,Daniel Kim,v3.3,2023-04-07,active
policy_08.md,Employees required privacy.,privacy,required,employees,Access Control Policy,Support,Alex Morgan,v3.2,2023-01-23,active
policy_09.md,Employees must cloud.,cloud,must,employees,Incident Response Policy,Compliance,Noah Patel,v2.3,2025-12-12,retired
policy_10.md,Contractors shall cloud. (Reference: Windows Server 2012),cloud,shall,contractors,Vendor Management Policy,Operations,Ethan Walker,v2.3,2024-12-07,active
policy_11.md,All Users prohibited network. (Reference: GDPR 2016),network,prohibited,all users,Remote Work Policy,Product,Daniel Kim,v3.2,2025-06-02,draft
policy_12.md,Developers required data retention.,data retention,required,developers,Mobile Device Policy,IT Security,Fatima Noor,v3.2,2025-10-09,retired
policy_13.md,Employees must cloud.,cloud,must,employees,Physical Security Policy,Legal,Priya Nair,v2.0,2025-08-12,draft
policy_14.md,Developers must patch.,patch,must,developers,Change Management Policy,Support,Daniel Kim,v2.0,2025-02-24,active
policy_15.md,Employees prohibited change.,change,prohibited,employees,Backup & Recovery Policy,Compliance,Noah Patel,v2.4,2025-04-01,draft
policy_16.md,All Users required network.,network,required,all users,Asset Management Policy,Operations,Ethan Walker,v3.4,2025-01-13,active
policy_17.md,Contractors shall vendor.,vendor,shall,contractors,Privacy Policy,HR,Liam Carter,v1.4,2026-01-31,retired
policy_18.md,Admins shall password.,password,shall,admins,Third-Party Risk Policy,HR,Fatima Noor,v1.4,2024-11-06,retired
policy_19.md,Developers shall encryption.,encryption,shall,developers,User Provisioning Policy,Infrastructure,Daniel Kim,v1.5,2025-01-18,retired
policy_20.md,Admins recommended asset.,asset,recommended,admins,Monitoring Policy,Finance,Liam Carter,v3.2,2025-07-31,draft
policy_21.md,All Users must patch.,patch,must,all users,Logging Policy,Infrastructure,Priya Nair,v1.0,2025-05-02,retired
policy_22.md,Admins prohibited asset.,asset,prohibited,admins,Vulnerability Management Policy,Operations,Priya Nair,v2.1,2025-11-17,retired
policy_23.md,Employees should physical.,physical,should,employees,Patch Management Policy,Compliance,Ava Johnson,v2.3,2025-12-24,draft
policy_24.md,All Users should monitoring.,monitoring,should,all users,HR Security Policy,Compliance,Daniel Kim,v1.2,2025-11-04,retired
policy_25.md,Admins should encryption.,encryption,should,admins,Legal Compliance Policy,Operations,Alex Morgan,v3.5,2025-07-22,active
policy_26.md,Developers must patch. (Reference: DES),patch,must,developers,Business Continuity Policy,Engineering,Ava Johnson,v3.0,2026-01-30,active
policy_27.md,Contractors required asset.,asset,required,contractors,Disaster Recovery Policy,Operations,Ethan Walker,v1.4,2025-10-03,draft
policy_28.md,Admins shall vendor.,vendor,shall,admins,Awareness Training Policy,Legal,Sophia Chen,v2.0,2025-08-03,retired
policy_29.md,Employees must physical.,physical,must,employees,Endpoint Security Policy,Compliance,Alex Morgan,v1.3,2025-07-26,active
policy_30.md,Employees must third-party.,third-party,must,employees,API Security Policy,Infrastructure,Alex Morgan,v1.2,2025-03-16,retired
policy_01.md,All Users shall api.,api,shall,all users,Password Policy,Product,Ava Johnson,v2.3,2023-03-28,active
policy_02.md,Contractors required provisioning. (Reference: SOX 2002),provisioning,required,contractors,Cloud Security Policy,Sales,Priya Nair,v2.2,2022-07-15,active
policy_03.md,Developers required vendor.,vendor,required,developers,Data Classification Policy,Compliance,Ava Johnson,v3.4,2024-02-19,active
policy_04.md,Developers shall asset. (Reference: FTP),asset,shall,developers,Acceptable Use Policy,HR,Mia Gonzalez,v3.1,2024-03-20,active
policy_05.md,Employees recommended privacy. (Reference: GDPR 2016),privacy,recommended,employees,Data Retention Policy,Infrastructure,Ava Johnson,v3.5,2022-09-22,active
policy_06.md,Admins must HR.,HR,must,admins,Network Security Policy,Operations,Noah Patel,v3.0,2022-12-15,active
policy_07.md,Employees must monitoring.,monitoring,must,employees,Encryption Policy,Infrastructure,Daniel Kim,v3.3,2023-04-07,active
policy_08.md,Contractors must network. (Reference: SHA-1),network,must,contractors,Access Control Policy,Support,Alex Morgan,v3.2,2023-01-23,active
policy_09.md,Admins must backup.,backup,must,admins,Incident Response Policy,Compliance,Noah Patel,v2.3,2025-12-12,retired
policy_10.md,Developers must physical.,physical,must,developers,Vendor Management Policy,Operations,Ethan Walker,v2.3,2024-12-07,active
policy_11.md,All Users must third-party.,third-party,must,all users,Remote Work Policy,Product,Daniel Kim,v3.2,2025-06-02,draft
policy_12.md,Contractors should cloud.,cloud,should,contractors,Mobile Device Policy,IT Security,Fatima Noor,v3.2,2025-10-09,retired
policy_13.md,Admins should cloud.,cloud,should,admins,Physical Security Policy,Legal,Priya Nair,v2.0,2025-08-12,draft
policy_14.md,Contractors recommended vendor.,vendor,recommended,contractors,Change Management Policy,Support,Daniel Kim,v2.0,2025-02-24,active
policy_15.md,Developers recommended privacy.,privacy,recommended,developers,Backup & Recovery Policy,Compliance,Noah Patel,v2.4,2025-04-01,draft
policy_16.md,Employees shall cloud.,cloud,shall,employees,Asset Management Policy,Operations,Ethan Walker,v3.4,2025-01-13,active
policy_17.md,All Users prohibited patch.,patch,prohibited,all users,Privacy Policy,HR,Liam Carter,v1.4,2026-01-31,retired
policy_18.md,Contractors required data retention.,data retention,required,contractors,Third-Party Risk Policy,HR,Fatima Noor,v1.4,2024-11-06,retired
policy_19.md,Employees required mobile. (Reference: SHA-1),mobile,required,employees,User Provisioning Policy,Infrastructure,Daniel Kim,v1.5,2025-01-18,retired
policy_20.md,Admins required mobile.,mobile,required,admins,Monitoring Policy,Finance,Liam Carter,v3.2,2025-07-31,draft
policy_21.md,Contractors recommended access.,access,recommended,contractors,Logging Policy,Infrastructure,Priya Nair,v1.0,2025-05-02,retired
policy_22.md,Contractors prohibited endpoint.,endpoint,prohibited,contractors,Vulnerability Management Policy,Operations,Priya Nair,v2.1,2025-11-17,retired
policy_23.md,All Users must provisioning.,provisioning,must,all users,Patch Management Policy,Compliance,Ava Johnson,v2.3,2025-12-24,draft
policy_24.md,Admins shall change.,change,shall,admins,HR Security Policy,Compliance,Daniel Kim,v1.2,2025-11-04,retired
policy_25.md,Contractors must backup.,backup,must,contractors,Legal Compliance Policy,Operations,Alex Morgan,v3.5,2025-07-22,active
policy_26.md,Admins recommended access.,access,recommended,admins,Business Continuity Policy,Engineering,Ava Johnson,v3.0,2026-01-30,active
policy_27.md,Employees prohibited third-party.,third-party,prohibited,employees,Disaster Recovery Policy,Operations,Ethan Walker,v1.4,2025-10-03,draft
policy_28.md,Admins shall endpoint.,endpoint,shall,admins,Awareness Training Policy,Legal,Sophia Chen,v2.0,2025-08-03,retired
policy_29.md,Contractors prohibited mobile.,mobile,prohibited,contractors,Endpoint Security Policy,Compliance,Alex Morgan,v1.3,2025-07-26,active
policy_30.md,Contractors recommended asset.,asset,recommended,contractors,API Security Policy,Infrastructure,Alex Morgan,v1.2,2025-03-16,retired
policy_01.md,Developers recommended password.,password,recommended,developers,Password Policy,Product,Ava Johnson,v2.3,2023-03-28,active
policy_02.md,Employees required change.,change,required,employees,Cloud Security Policy,Sales,Priya Nair,v2.2,2022-07-15,active
policy_03.md,Admins prohibited privacy.,privacy,prohibited,admins,Data Classification Policy,Compliance,Ava Johnson,v3.4,2024-02-19,active
policy_04.md,All Users should data retention.,data retention,should,all users,Acceptable Use Policy,HR,Mia Gonzalez,v3.1,2024-03-20,active
policy_05.md,Employees prohibited data retention. (Reference: Windows Server 2012),data retention,prohibited,employees,Data Retention Policy,Infrastructure,Ava Johnson,v3.5,2022-09-22,active
policy_06.md,Developers recommended password.,password,recommended,developers,Network Security Policy,Operations,Noah Patel,v3.0,2022-12-15,active
policy_07.md,Employees must mobile.,mobile,must,employees,Encryption Policy,Infrastructure,Daniel Kim,v3.3,2023-04-07,active
policy_08.md,Admins shall mobile.,mobile,shall,admins,Access Control Policy,Support,Alex Morgan,v3.2,2023-01-23,active
