finding_subtype,explanation,policy_b,policy,severity,description,finding_type,policy_a
STALE_POLICY,Last review date is stale.,,policy_30.md,MEDIUM,policy_30.md not reviewed in 18+ months.,STALE,
STALE_POLICY,Last review date is stale.,,policy_10.md,MEDIUM,policy_10.md not reviewed in 18+ months.,STALE,
STALE_POLICY,Last review date is stale.,,policy_25.md,MEDIUM,policy_25.md not reviewed in 18+ months.,STALE,
STALE_POLICY,Last review date is stale.,,policy_06.md,MEDIUM,policy_06.md not reviewed in 18+ months.,STALE,
STALE_POLICY,Last review date is stale.,,policy_30.md,MEDIUM,policy_30.md not reviewed in 18+ months.,STALE,
STALE_POLICY,Last review date is stale.,,policy_24.md,MEDIUM,policy_24.md not reviewed in 18+ months.,STALE,
STALE_POLICY,Last review date is stale.,,policy_11.md,MEDIUM,policy_11.md not reviewed in 18+ months.,STALE,
STALE_POLICY,Last review date is stale.,,policy_08.md,MEDIUM,policy_08.md not reviewed in 18+ months.,STALE,
STALE_POLICY,Last review date is stale.,,policy_18.md,MEDIUM,policy_18.md not reviewed in 18+ months.,STALE,
STALE_POLICY,Last review date is stale.,,policy_19.md,MEDIUM,policy_19.md not reviewed in 18+ months.,STALE,
STALE_POLICY,Last review date is stale.,,policy_13.md,MEDIUM,policy_13.md not reviewed in 18+ months.,STALE,
STALE_POLICY,Last review date is stale.,,policy_06.md,MEDIUM,policy_06.md not reviewed in 18+ months.,STALE,
STALE_REFERENCE,Mentions WEP.,,policy_23.md,LOW,policy_23.md references deprecated technology or regulation.,STALE,
STALE_REFERENCE,Mentions SHA-1.,,policy_10.md,LOW,policy_10.md references deprecated technology or regulation.,STALE,
STALE_REFERENCE,Mentions TLS 1.0.,,policy_21.md,LOW,policy_21.md references deprecated technology or regulation.,STALE,
STALE_REFERENCE,Mentions GDPR 2016.,,policy_12.md,LOW,policy_12.md references deprecated technology or regulation.,STALE,
STALE_REFERENCE,Mentions SHA-1.,,policy_18.md,LOW,policy_18.md references deprecated technology or regulation.,STALE,
STALE_REFERENCE,Mentions SOX 2002.,,policy_16.md,LOW,policy_16.md references deprecated technology or regulation.,STALE,
STALE_REFERENCE,Mentions NIST SP 800-53 Rev 4.,,policy_21.md,LOW,policy_21.md references deprecated technology or regulation.,STALE,
STALE_REFERENCE,Mentions TLS 1.0.,,policy_22.md,LOW,policy_22.md references deprecated technology or regulation.,STALE,
FALSE_POSITIVE_PRONE,"Appears conflicting, but applies to different user groups.",policy_16.md,,LOW,"Apparent conflict between policy_22.md and policy_16.md, but different scopes.",CONFLICT,policy_22.md
FALSE_POSITIVE_PRONE,"Appears conflicting, but applies to different user groups.",policy_09.md,,LOW,"Apparent conflict between policy_13.md and policy_09.md, but different scopes.",CONFLICT,policy_13.md
FALSE_POSITIVE_PRONE,"Appears conflicting, but applies to different user groups.",policy_19.md,,LOW,"Apparent conflict between policy_16.md and policy_19.md, but different scopes.",CONFLICT,policy_16.md
FALSE_POSITIVE_PRONE,"Appears conflicting, but applies to different user groups.",policy_21.md,,LOW,"Apparent conflict between policy_28.md and policy_21.md, but different scopes.",CONFLICT,policy_28.md
FALSE_POSITIVE_PRONE,"Appears conflicting, but applies to different user groups.",policy_15.md,,LOW,"Apparent conflict between policy_19.md and policy_15.md, but different scopes.",CONFLICT,policy_19.md
FALSE_POSITIVE_PRONE,"Appears conflicting, but applies to different user groups.",policy_03.md,,LOW,"Apparent conflict between policy_02.md and policy_03.md, but different scopes.",CONFLICT,policy_02.md
FALSE_POSITIVE_PRONE,"Appears conflicting, but applies to different user groups.",policy_16.md,,LOW,"Apparent conflict between policy_11.md and policy_16.md, but different scopes.",CONFLICT,policy_11.md
FALSE_POSITIVE_PRONE,"Appears conflicting, but applies to different user groups.",policy_16.md,,LOW,"Apparent conflict between policy_21.md and policy_16.md, but different scopes.",CONFLICT,policy_21.md
FALSE_POSITIVE_PRONE,"Appears conflicting, but applies to different user groups.",policy_21.md,,LOW,"Apparent conflict between policy_02.md and policy_21.md, but different scopes.",CONFLICT,policy_02.md
FALSE_POSITIVE_PRONE,"Appears conflicting, but applies to different user groups.",policy_01.md,,LOW,"Apparent conflict between policy_05.md and policy_01.md, but different scopes.",CONFLICT,policy_05.md
FALSE_POSITIVE_PRONE,"Appears conflicting, but applies to different user groups.",policy_18.md,,LOW,"Apparent conflict between policy_09.md and policy_18.md, but different scopes.",CONFLICT,policy_09.md
FALSE_POSITIVE_PRONE,"Appears conflicting, but applies to different user groups.",policy_02.md,,LOW,"Apparent conflict between policy_15.md and policy_02.md, but different scopes.",CONFLICT,policy_15.md
FALSE_POSITIVE_PRONE,"Appears conflicting, but applies to different user groups.",policy_09.md,,LOW,"Apparent conflict between policy_03.md and policy_09.md, but different scopes.",CONFLICT,policy_03.md
FALSE_POSITIVE_PRONE,"Appears conflicting, but applies to different user groups.",policy_02.md,,LOW,"Apparent conflict between policy_26.md and policy_02.md, but different scopes.",CONFLICT,policy_26.md
FALSE_POSITIVE_PRONE,"Appears conflicting, but applies to different user groups.",policy_19.md,,LOW,"Apparent conflict between policy_08.md and policy_19.md, but different scopes.",CONFLICT,policy_08.md
